Firm,Year,Cash_Equiv,Acct_Rec,Net_PPE,Avail_Sale_Sec,Other_Assets,Curr_Debt,Long_Term_Debt,Payables,Def_Tax_Liab,Other_Liab,Capital_Stock,Common_Stock,Ret_Earnings,Other_Equity
Volkswagen,0,55.6441,46.536674,48.616703,68.79018,73.475235,23.642654,14.53894,46.987743,45.093575,20.317665,36.39936,42.68889,32.20803,31.186024
Volkswagen,1,80.12386,80.00222,36.675816,61.689445,34.588486,19.674091,13.724111,45.88863,46.016724,35.32406,23.561192,23.968384,39.038227,45.88441
Volkswagen,2,55.61183,49.889275,73.53087,45.087795,32.696793,45.483456,41.195023,35.681267,13.365599,16.465149,45.94217,34.257164,10.367882,14.058862
Volkswagen,3,37.56326,73.69683,65.32575,35.117294,34.123234,36.54007,10.202463,16.432322,31.949352,37.675808,36.07845,18.970772,38.487167,19.489964
Volkswagen,4,66.63259,31.778236,73.3399,66.925156,32.254597,23.015987,39.859657,35.985317,43.968937,36.304516,32.732346,13.746991,24.708632,20.608095
Microsoft,0,35.34735,89.85188,52.84057,52.621254,79.34507,19.759586,48.92042,25.72391,45.68186,35.245544,41.792454,30.105484,33.076157,29.700708
Microsoft,1,72.84054,74.79096,63.08297,44.102455,29.367798,17.80972,38.898083,21.230894,10.972639,35.818893,17.084427,47.618343,48.157143,46.594574
Microsoft,2,72.16584,59.805676,52.223637,79.466774,34.536026,24.806349,10.618264,47.132744,27.127365,48.66619,48.5448,44.120377,21.777956,25.40391
Microsoft,3,76.83316,39.580822,74.97822,43.060104,47.898987,44.045467,22.67688,16.77971,32.27205,47.44619,37.84119,32.80245,13.88706,34.60029
Microsoft,4,33.637302,62.598694,67.873375,59.012234,79.64607,49.602154,15.60336,30.733187,45.09492,39.630745,37.88063,38.099365,24.379646,21.743673
Google,0,59.126705,53.101074,92.494545,48.903046,98.88951,42.374447,42.404537,44.68289,46.52962,30.453695,30.060652,41.93181,35.998558,38.078674
Google,1,26.377508,75.70322,27.974382,71.64809,52.929726,41.831707,45.600212,23.519806,25.023317,13.759277,33.131207,11.437691,28.62392,31.705786
Google,2,61.679367,23.705454,43.538242,60.7018,42.267593,21.46165,33.63333,11.22001,11.493928,42.904022,24.407625,15.08242,30.88973,40.799744
Google,3,54.599674,57.807304,46.14636,54.510696,52.420116,18.632841,34.91562,13.413898,12.067268,31.254185,31.625404,35.497196,39.04365,49.034084
Google,4,65.39139,25.455729,36.44719,67.690025,64.882965,30.652014,22.918259,41.80745,20.83329,27.558857,13.138255,11.0140295,48.505936,43.439205
